company_id,company_name,revenue_2023 (USD M),ebitda (USD M),total_debt (USD M),total_assets (USD M),cash_equivalents (USD M),moodys_rating,sp_rating,fitch_rating,industry,country
2042,Company_42_Inc,200705.17,46769.73,76495.33,278855.07,25643.51,B1,B+,B,Technology,France
2043,Company_43_Inc,211675.73,45614.57,94100.62,270805.03,16189.65,B1,B+,B,Pharmaceuticals,Brazil
2044,Company_44_Inc,30085.12,5234.7,8949.25,41898.95,4755.92,B1,B+,B,Technology,Brazil
2045,Company_45_Inc,376354.31,75347.89,118777.61,537040.62,35602.27,B1,B+,B,Banking,Germany
2046,Company_46_Inc,249069.05,50441.94,133154.97,338828.39,30093.72,B1,B+,B,Technology,Japan
2047,Company_47_Inc,131442.82,27835.17,56759.68,219371.82,30829.43,B1,B+,B,Automotive,Germany
2048,Company_48_Inc,100569.98,20531.56,24046.39,116176.48,15624.29,Ba2,BB,BB-,Telecom,Brazil
2049,Company_49_Inc,197475.08,36758.37,116521.41,277088.0,38168.1,Ba2,BB,BB-,Technology,India
2050,Company_50_Inc,230762.63,42875.11,115473.56,356636.21,53156.81,B1,B+,B,Technology,Japan
2051,Global_1_Ltd,514033.18,98288.1,363863.38,772917.92,46616.52,B1,B+,B,Telecom,India
2052,Global_2_Ltd,92598.94,17967.34,39647.22,87301.19,12733.24,B1,B+,B,Technology,Brazil
2053,Global_3_Ltd,126448.62,30410.19,37238.52,163677.69,9547.06,B1,B+,B,Energy,Brazil
2054,Global_4_Ltd,112835.26,23129.68,92565.99,185585.04,27359.84,B1,B+,B,Energy,Germany
2055,Global_5_Ltd,633293.04,131783.0,478477.57,1060716.17,126016.26,Ba2,BB,BB-,Automotive,India
2056,Global_6_Ltd,46919.38,9024.02,13935.23,57115.95,7949.95,B1,B+,B,Retail,India
2057,Global_7_Ltd,346732.63,70993.4,262725.63,556258.99,40978.78,B1,B+,B,Retail,Germany
2058,Global_8_Ltd,130178.66,30880.4,42984.61,156525.52,18862.65,B1,B+,B,Energy,Brazil
2059,Global_9_Ltd,93750.67,15952.66,54731.81,127236.39,15789.7,Ba2,BB,BB-,Retail,Germany
2060,Global_10_Ltd,61351.68,13204.81,16833.57,74859.99,7319.17,B1,B+,B,Telecom,USA
2061,Global_11_Ltd,32544.3,6898.8,14471.77,30419.83,4333.74,B1,B+,B,Pharmaceuticals,Brazil
2062,Global_12_Ltd,84652.04,15293.05,45279.66,143626.17,17190.98,Ba2,BB,BB-,Automotive,Japan
2063,Global_13_Ltd,73666.68,14387.33,33920.83,86081.58,5764.71,B1,B+,B,Automotive,Japan
2064,Global_14_Ltd,78367.7,13576.66,18207.43,86828.27,8276.82,B1,B+,B,Energy,UK
2065,Global_15_Ltd,44183.0,9437.19,21442.75,44472.32,2562.5,B1,B+,B,Pharmaceuticals,Japan
2066,Global_16_Ltd,166274.51,36703.96,74339.37,171573.24,15634.7,B1,B+,B,Pharmaceuticals,India
2067,Global_17_Ltd,444923.45,82953.43,200306.6,540311.28,71816.24,B1,B+,B,Telecom,USA
2068,Global_18_Ltd,176787.15,33644.8,111226.94,234680.88,29333.02,B1,B+,B,Technology,Germany
2069,Global_19_Ltd,88639.7,20131.8,26681.58,96871.48,6829.88,B1,B+,B,Pharmaceuticals,France
2070,Global_20_Ltd,194174.84,40755.01,37620.02,182042.25,13993.09,B1,B+,B,Energy,Brazil
2071,Global_21_Ltd,98068.89,21364.95,34502.01,152311.64,22358.95,Ba2,BB,BB-,Retail,Brazil
2072,Global_22_Ltd,488449.52,106265.37,106845.76,522822.37,33270.92,B1,B+,B,Technology,India
2073,Global_23_Ltd,57592.55,9169.62,33114.41,93491.54,7930.47,Ba2,BB,BB-,Banking,UK
2074,Global_24_Ltd,325459.46,67244.48,258173.1,540137.89,34950.89,B1,B+,B,Energy,Brazil
2075,Global_25_Ltd,201795.01,40227.05,101850.59,261141.8,21642.17,B1,B+,B,Energy,Japan
2076,Global_26_Ltd,61497.62,12899.34,24758.72,72354.03,10106.33,B1,B+,B,Automotive,India
2077,Global_27_Ltd,97105.1,17881.18,23889.63,101145.49,5954.46,B1,B+,B,Banking,France
2078,Global_28_Ltd,155396.39,23984.49,99261.32,225684.64,12171.45,B1,B+,B,Banking,Brazil
2079,Global_29_Ltd,109590.85,19595.77,22278.44,98859.28,13526.93,B1,B+,B,Telecom,Brazil
2080,Global_30_Ltd,281393.2,56666.99,110116.52,306407.15,38605.93,Ba2,BB,BB-,Energy,India
2081,Global_31_Ltd,296924.9,62182.23,204909.5,445296.19,23621.72,B1,B+,B,Banking,Brazil
2082,Global_32_Ltd,187716.49,35708.3,88778.0,196319.0,20887.66,B1,B+,B,Automotive,India
2083,Global_33_Ltd,84602.1,14901.37,42709.07,108220.97,9254.02,B1,B+,B,Retail,Japan
2084,Global_34_Ltd,204639.21,47668.45,87878.94,280197.8,29825.89,B1,B+,B,Energy,India
2085,Global_35_Ltd,47838.85,10137.44,29825.93,62123.44,5158.41,B1,B+,B,Energy,UK
2086,Global_36_Ltd,125839.69,19434.81,87869.94,198909.02,11693.62,B1,B+,B,Pharmaceuticals,Brazil
2087,Global_37_Ltd,170574.66,37212.13,137267.7,278704.74,14082.95,B1,B+,B,Technology,India
2088,Global_38_Ltd,233474.32,50579.03,140015.62,310060.76,30281.14,B1,B+,B,Retail,Germany
2089,Global_39_Ltd,71682.43,15252.05,43992.85,106734.97,10991.99,Ba2,BB,BB-,Banking,Brazil
2090,Global_40_Ltd,273527.39,54764.55,98308.15,316338.19,34603.7,B1,B+,B,Retail,France
2091,Global_41_Ltd,48415.87,9905.56,16936.97,70089.58,4120.34,B1,B+,B,Pharmaceuticals,India
2092,Global_42_Ltd,1004155.95,188692.66,701861.28,1541812.74,93541.66,Ba2,BB,BB-,Technology,Germany
2093,Global_43_Ltd,98817.55,17309.2,34775.0,162175.37,19811.29,Ba2,BB,BB-,Banking,Brazil
2094,Global_44_Ltd,273220.14,58130.13,115389.74,426252.41,29258.18,B1,B+,B,Automotive,USA
2095,Global_45_Ltd,286058.57,47444.09,171348.67,413751.02,39386.97,Ba2,BB,BB-,Retail,Japan
2096,Global_46_Ltd,23078.9,5313.13,9978.3,31433.2,2688.68,B1,B+,B,Pharmaceuticals,Brazil
2097,Global_47_Ltd,23777.77,5436.78,11317.4,27730.88,3412.42,B1,B+,B,Pharmaceuticals,Germany
2098,Global_48_Ltd,580947.21,115813.8,335991.22,789228.79,118202.21,Ba2,BB,BB-,Telecom,France
2099,Global_49_Ltd,111977.75,21443.02,70246.75,164747.41,16375.59,B1,B+,B,Automotive,India
2100,Global_50_Ltd,79555.83,12416.26,39829.5,110038.94,11029.08,B1,B+,B,Pharmaceuticals,India
